#time,accel_x,accel_y,accel_z
1224.112286,7105.977043,5773.606348,-72472.634111
1224.114779,-2664.741391,-4145.153275,-74311.263306
1224.117178,2960.823768,7254.018232,-75230.577904
1224.119578,1924.535449,1184.329507,-73698.386908
1224.121977,1628.453072,148.041188,-73238.729609
1224.124376,4589.276840,4885.359217,-71859.757712
1224.126776,888.247130,8734.430116,-73085.510509
1224.129175,4441.235652,-1776.494261,-73238.729609
1224.131575,3997.112087,7550.100608,-73238.729609
1224.133974,2516.700203,1036.288319,-74158.044206
1224.136373,2516.700203,-1184.329507,-73851.606007
1224.138773,4737.318029,1480.411884,-72779.072310
1224.141172,1628.453072,-1036.288319,-72932.291410
1224.143571,1628.453072,-740.205942,-72472.634111
1224.145971,4293.194464,148.041188,-72472.634111
1224.148370,1628.453072,5625.565159,-73085.510509
1224.150769,6069.688724,3108.864956,-74311.263306
1224.153169,3404.947333,-11103.089130,-74158.044206
1224.155568,1184.329507,2960.823768,-73851.606007
1224.157967,1036.288319,-9918.759623,-71859.757712
1224.160367,592.164754,-11991.336260,-73238.729609
1224.162766,4737.318029,1332.370696,-73085.510509
1224.165165,1924.535449,-3256.906145,-73238.729609
1224.167565,2664.741391,-3256.906145,-73085.510509
1224.169964,1776.494261,2368.659014,-73545.167808
1224.172363,888.247130,-2664.741391,-72472.634111
1224.174763,2812.782580,-6513.812290,-72932.291410
1224.177162,2220.617826,-740.205942,-73238.729609
1224.179561,2072.576638,-1776.494261,-73238.729609
1224.181961,1480.411884,-2220.617826,-73391.948708
1224.184360,3404.947333,1332.370696,-72779.072310
1224.186759,5329.482782,-7550.100608,-72319.415011
1224.189159,2664.741391,-1332.370696,-73391.948708
1224.191558,7550.100608,19985.560434,-72625.853210
1224.193957,-2220.617826,-13027.624579,-73238.729609
1224.196357,4441.235652,-10510.924376,-74311.263306
1224.198756,5625.565159,35233.802839,-72472.634111
1224.201156,-3256.906145,-34789.679274,-72012.976812
