#time,accel_x,accel_y,accel_z
290.779459,-148.041188,-4145.153275,-72779.072310
290.782022,3108.864956,-3701.029710,-70634.004916
290.784584,-888.247130,-3701.029710,-72012.976812
290.787146,-592.164754,-5921.647536,-73238.729609
290.789708,-2220.617826,1480.411884,-72779.072310
290.792271,-2072.576638,-2960.823768,-74770.920605
290.794833,1332.370696,-888.247130,-74311.263306
290.797395,-2220.617826,-7550.100608,-73851.606007
290.799957,5921.647536,2072.576638,-72625.853210
290.802520,-1036.288319,6661.853478,-71706.538613
290.805082,1184.329507,-4293.194464,-71859.757712
290.807644,-148.041188,-1924.535449,-72779.072310
290.810206,-2220.617826,-7698.141797,-73085.510509
290.812768,2516.700203,-1036.288319,-73085.510509
290.815331,592.164754,-2664.741391,-73085.510509
290.817893,-3701.029710,592.164754,-73391.948708
290.820455,888.247130,-296.082377,-73085.510509
290.823017,7846.182985,5181.441594,-74464.482406
290.825580,4589.276840,-2812.782580,-71859.757712
290.828142,10510.924376,4145.153275,-72472.634111
290.830704,6069.688724,3849.070898,-71400.100414
290.833266,3849.070898,-7994.224174,-71706.538613
290.835828,8290.306550,2960.823768,-72625.853210
290.838391,2664.741391,-148.041188,-72625.853210
290.840953,8290.306550,2664.741391,-74311.263306
290.843515,9326.594869,4293.194464,-74158.044206
290.846077,1184.329507,1628.453072,-73085.510509
290.848640,4293.194464,-444.123565,-72779.072310
290.851202,6365.771101,1036.288319,-72319.415011
290.853764,5181.441594,1036.288319,-72472.634111
290.856326,-296.082377,-3404.947333,-72932.291410
290.858888,3256.906145,0.000000,-73698.386908
290.861451,6513.812290,2812.782580,-72779.072310
290.864013,-740.205942,0.000000,-73238.729609
290.866575,4145.153275,-1776.494261,-72472.634111
290.869137,1036.288319,-1924.535449,-73698.386908
290.871700,7698.141797,1184.329507,-73698.386908
290.874272,6513.812290,2220.617826,-73085.510509
290.876844,3404.947333,1184.329507,-73851.606007
290.879417,7105.977043,2812.782580,-72779.072310
290.881989,3997.112087,-1036.288319,-71553.319513
290.884561,8438.347739,-1924.535449,-71553.319513
290.887134,7105.977043,444.123565,-71859.757712
290.889706,5477.523971,2960.823768,-72319.415011
290.892278,6661.853478,8882.471304,-74311.263306
290.894851,4145.153275,-1628.453072,-73698.386908
290.897423,9918.759623,-2220.617826,-73085.510509
290.899995,6365.771101,296.082377,-72932.291410
290.902568,4737.318029,-148.041188,-71400.100414
290.905140,296.082377,-888.247130,-72319.415011
290.907712,1480.411884,740.205942,-72625.853210
290.910285,6809.894666,5773.606348,-73545.167808
290.912857,592.164754,-10214.842000,-73085.510509
290.915430,4737.318029,-2220.617826,-73085.510509
290.918002,444.123565,1628.453072,-72012.976812
290.920574,-7550.100608,-11547.212695,-72625.853210
290.923147,-2664.741391,1480.411884,-72625.853210
290.925719,444.123565,-740.205942,-73698.386908
290.928291,148.041188,-7105.977043,-74464.482406
290.930864,5773.606348,740.205942,-73698.386908
290.933436,592.164754,-5033.400406,-72932.291410
290.936008,740.205942,-3108.864956,-72012.976812
290.938581,1332.370696,-3552.988522,-71246.881314
290.941153,592.164754,-888.247130,-71859.757712
290.943725,148.041188,-3404.947333,-72932.291410
290.946298,2516.700203,2072.576638,-73698.386908
290.948870,148.041188,-592.164754,-73391.948708
290.951442,-4441.235652,3849.070898,-73391.948708
290.954015,0.000000,-10214.842000,-72779.072310
290.956594,6217.729913,5625.565159,-73545.167808
290.959173,-3997.112087,-6809.894666,-72319.415011
290.961752,-2220.617826,-9622.677246,-72472.634111
